id,revenue,gas_fee_base_raw,profit
8015,0,232584591,-232584591
8016,0,285989251,-285989251
8017,0,235038584,-235038584
6115,160138125,95972950,64165175
7005,0,28850848,-28850848
7006,68976694,30394468,38582226
981,0,22062509,-22062509
6116,0,101576337,-101576337
6117,244580279,100813678,143766601
7666,125154511,38135235,87019276
8018,122024721,19871126,102153595
9017,0,200075048,-200075048
6118,232976405,20655570,212320835
9018,75317933,26170140,49147793
7007,0,43097665,-43097665
6554,54136647,51970910,2165737
12595,0,16939793,-16939793
6119,465166347,13730517,451435830
6120,203789188,19975720,183813468
6555,51919008,16711941,35207067
6556,70774551,15210049,55564502
6121,178990113,31357835,147632278
7667,986930975,35135855,951795120
7668,139875772,17931366,121944406
7669,91545948,18961732,72584216
7670,99911159,32903841,67007318
7671,100022662,18510448,81512214
7672,99841021,17889276,81951745
6557,104704811,12327214,92377597
12596,146145732,13418972,132726760
7673,114576757,19143722,95433035
6558,38227534,13401988,24825546
7008,91274874,15375513,75899361
6122,97767125,17242307,80524818
12597,108784794,12550981,96233813
12598,0,294619470,-294619470
9019,215591525,15963269,199628256
12599,39124010,16367734,22756276
6123,96226378,36766061,59460317
6559,79450097,16099270,63350827
6560,311484183,21880941,289603242
6124,194432698,20038257,174394441
12600,0,15301836,-15301836
6125,0,13211773,-13211773
6126,94138525,12478175,81660350
6127,89831845,17682038,72149807
6128,131695423,11885622,119809801
12601,71204056,16813626,54390430
6129,0,13668931,-13668931
12602,9668759529,457987567,9210771962
12603,9668759529,457987567,9210771962
12604,2359493828,55409438,2304084390
6130,430428824,72729648,357699176
6131,451396908,82754535,368642373
12605,0,23564321,-23564321
12606,0,54055851,-54055851
982,0,80392813,-80392813
9020,208390591,22353441,186037150
12607,62497941,20977042,41520899
6132,0,15909205,-15909205
6561,75872828,18053647,57819181
12608,59322645,37507570,21815075
8019,127216868,44852543,82364325
12609,1049526100,236228676,813297424
6562,117461378,56239420,61221958
6133,74007198,40322735,33684463
12610,42829951,15829889,27000062
12611,0,19163245,-19163245
12612,0,19163245,-19163245
12613,0,19163245,-19163245
12614,59344293,15831538,43512755
12615,0,54703087,-54703087
12616,150696701,16464244,134232457
6134,91409368,48785879,42623489
6135,91178970,14975006,76203964
6136,22509262,14195550,8313712
6137,32495870,14619774,17876096
12617,60318682,14628000,45690682
6138,135181266,20415771,114765495
6139,134817280,19967359,114849921
6140,67354700,13788555,53566145
6141,90062690,75789318,14273372
6142,140696080,34730167,105965913
